Aasta,Sugu,Elukoht,Amet,Aasta_label,Sugu_label,Elukoht_label,Amet_label,value
2021,1,V1,19,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Infotehnoloogia ja telekommunikatsiooni tehnikud,564
2021,1,V1,20,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Kontoritöötajad ja klienditeenindajad,5378
2021,1,V1,21,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Kontoritöötajad,898
2021,1,V1,22,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Klienditeenindajad,1462
2021,1,V1,23,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Arvepidamise ja materjaliarvestuse kontoritöötajad,2240
2021,1,V1,24,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Muud kontoritöötajad ja klienditeenindajad,778
2021,1,V1,25,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Teenindus- ja müügitöötajad,8255
2021,1,V1,26,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Isikuteenindajad,2060
2021,1,V1,27,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Müügitöötajad,3928
2021,1,V1,28,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Isikuhooldustöötajad,1408
2021,1,V1,29,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Pääste-, politsei- ja turvatöötajad",859
2021,1,V1,30,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"Põllumajanduse, metsanduse, kalanduse ja jahinduse oskustöölised",379
2021,1,V1,31,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Põllumajanduse oskustöölised,249
2021,1,V1,32,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Metsanduse, kalanduse ja jahinduse oskustöölised",128
2021,1,V1,33,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",2
2021,1,V1,34,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,Oskus- ja käsitöölised,6844
2021,1,V1,35,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Ehitustöölised, v.a elektrikud",2444
2021,1,V1,36,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Metallitöötluse, masinaehituse jms oskustöölised",1770
2021,1,V1,37,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",398
2021,1,V1,38,2021,Mehed ja naised,..Väikelinnaline asustuspiirkond,..Elektri- ja elektroonikavaldkonna töölised,682
