scenario,taxonomy,code,location_code,location_name,code_label,employed,source
2021_census,isco2,54,V1,..Väikelinnaline asustuspiirkond,"..Pääste-, politsei- ja turvatöötajad",859,rl21154_census2021
2021_census,isco2,61,V1,..Väikelinnaline asustuspiirkond,..Põllumajanduse oskustöölised,249,rl21154_census2021
2021_census,isco2,62,V1,..Väikelinnaline asustuspiirkond,"..Metsanduse, kalanduse ja jahinduse oskustöölised",128,rl21154_census2021
2021_census,isco2,63,V1,..Väikelinnaline asustuspiirkond,"..Oma tarbeks põllumajanduse, kalapüügi, jahi ning metsasaaduste korjamisega tegelejad",2,rl21154_census2021
2021_census,isco2,71,V1,..Väikelinnaline asustuspiirkond,"..Ehitustöölised, v.a elektrikud",2444,rl21154_census2021
2021_census,isco2,72,V1,..Väikelinnaline asustuspiirkond,"..Metallitöötluse, masinaehituse jms oskustöölised",1770,rl21154_census2021
2021_census,isco2,73,V1,..Väikelinnaline asustuspiirkond,"..Käsitöömeistrid, täppisinstrumentide valmistajad ja trükitöölised",398,rl21154_census2021
2021_census,isco2,74,V1,..Väikelinnaline asustuspiirkond,..Elektri- ja elektroonikavaldkonna töölised,682,rl21154_census2021
2021_census,isco2,75,V1,..Väikelinnaline asustuspiirkond,"..Toiduaine-, puidu- ning rõivatööstuse jms oskus- ja käsitöölised",1550,rl21154_census2021
2021_census,isco2,81,V1,..Väikelinnaline asustuspiirkond,..Seadme- ja masinaoperaatorid,1166,rl21154_census2021
2021_census,isco2,82,V1,..Väikelinnaline asustuspiirkond,..Koostajad,667,rl21154_census2021
2021_census,isco2,83,V1,..Väikelinnaline asustuspiirkond,..Mootorsõidukite ja liikurmasinate juhid,2803,rl21154_census2021
2021_census,isco2,91,V1,..Väikelinnaline asustuspiirkond,..Puhastustöölised ja abilised,1382,rl21154_census2021
2021_census,isco2,92,V1,..Väikelinnaline asustuspiirkond,"..Põllumajanduse, metsanduse ja kalanduse lihttöölised",196,rl21154_census2021
2021_census,isco2,93,V1,..Väikelinnaline asustuspiirkond,"..Mäetööstuse, ehituse, töötleva tööstuse ja veonduse lihttöölised",1696,rl21154_census2021
2021_census,isco2,94,V1,..Väikelinnaline asustuspiirkond,..Toitlustuse abitöölised,370,rl21154_census2021
2021_census,isco2,95,V1,..Väikelinnaline asustuspiirkond,..Tänaval jms kohtades teenuse osutajad,27,rl21154_census2021
2021_census,isco2,96,V1,..Väikelinnaline asustuspiirkond,..Jäätmekäitluse jm lihttöölised,680,rl21154_census2021
2021_census,isco2,11,M1,..Maaline asustuspiirkond,"..Seadusandjad, kõrgemad ametnikud ja tippjuhid",1385,rl21154_census2021
2021_census,isco2,12,M1,..Maaline asustuspiirkond,..Äriteenindus- ja haldusjuhid,3874,rl21154_census2021
2021_census,isco2,13,M1,..Maaline asustuspiirkond,..Põhitegevuse ja valdkondade juhid,6708,rl21154_census2021
2021_census,isco2,14,M1,..Maaline asustuspiirkond,"..Külalismajanduse, kaubandus- jm teenuste juhid",2499,rl21154_census2021
2021_census,isco2,21,M1,..Maaline asustuspiirkond,..Loodus- ja tehnikateaduste tippspetsialistid,3701,rl21154_census2021
2021_census,isco2,22,M1,..Maaline asustuspiirkond,..Tervishoiu tippspetsialistid,3921,rl21154_census2021
2021_census,isco2,23,M1,..Maaline asustuspiirkond,..Pedagoogika tippspetsialistid,10314,rl21154_census2021
2021_census,isco2,24,M1,..Maaline asustuspiirkond,..Äri ja halduse tippspetsialistid,4494,rl21154_census2021
2021_census,isco2,25,M1,..Maaline asustuspiirkond,..IKT tippspetsialistid,2383,rl21154_census2021
2021_census,isco2,26,M1,..Maaline asustuspiirkond,"..Õigus-, sotsiaal- ja kultuurivaldkonna tippspetsialistid",3147,rl21154_census2021
2021_census,isco2,31,M1,..Maaline asustuspiirkond,..Loodus- ja tehnikateaduste keskastme spetsialistid,4818,rl21154_census2021
2021_census,isco2,32,M1,..Maaline asustuspiirkond,..Tervishoiu keskastme spetsialistid,1352,rl21154_census2021
2021_census,isco2,33,M1,..Maaline asustuspiirkond,..Äri ja halduse keskastme spetsialistid,8511,rl21154_census2021
