isco4_code,isco4_label,isco2_code,isco2_label,employment_estonia,felten_aei_isco4_exposure,ilo_wp140_exposure,demirev_ai_products_exposure,felten_aei_isco4_z,ilo_wp140_z,demirev_ai_products_z,felten_aei_isco4_quintile,ilo_wp140_quintile,demirev_ai_products_quintile,ensemble_z_mean,ensemble_z_sd,n_models,top_quintile_count,bottom_quintile_count,tier_label_quintile,tier_label_ensemble,tootukassa_balance_national,tootukassa_demand_national,notes
2152,Electronics engineers,21,Science & engineering professionals,937,0.848,0.0,0.2679,0.9631255809576589,-0.6854777735548961,0.49814496848667367,4,2,4,0.25859759196314547,0.6940271197040219,3,0,0,Mixed,Mixed,,,
2153,Telecommunications engineers,21,Science & engineering professionals,408,0.7812,0.0,0.0548,0.7105038814408844,-0.6854777735548961,-0.7954542192919113,4,2,2,-0.256809370468641,0.6854657298236834,3,0,0,Mixed,Mixed,,,
2161,Building architects,21,Science & engineering professionals,1070,0.8882,0.66,0.1335,1.1151524121039813,1.5398503414965126,-0.31771486650836067,5,5,3,0.7790959623640443,0.7947064777037306,3,2,0,Contested High,Contested High,3.0,3.0,
2162,Landscape architects,21,Science & engineering professionals,130,0.8846,0.66,0.0975,1.1015380690162513,1.5398503414965126,-0.5362487508820305,4,5,2,0.7017132198769112,0.8934732948203599,3,1,0,Contested High,Contested High,,,
2163,Product and garment designers,21,Science & engineering professionals,489,0.7975,0.66,0.1056,0.7721466015325523,1.5398503414965126,-0.48707862689795484,4,5,2,0.6083061053770367,0.8355609061640487,3,1,0,Contested High,Contested High,,,
2164,Town and traffic planners,21,Science & engineering professionals,316,0.9387,0.33,0.2322,1.306131391529088,0.42718628397080827,0.2814321998161175,5,4,4,0.6715832917720045,0.4526216458522042,3,1,0,Contested High,Contested High,,,
2165,Cartographers and surveyors,21,Science & engineering professionals,709,0.7297,0.66,0.0491,0.5157431400469639,1.5398503414965126,-0.8300554176510756,4,5,2,0.4085126879641335,0.9704765510478663,3,1,0,Contested High,Mixed,,,
2166,Graphic and multimedia designers,21,Science & engineering professionals,1414,0.7939,0.33,0.1613,0.7585322584448222,0.42718628397080827,-0.14895814468647117,4,4,3,0.3455867992430531,0.3749476095623011,3,0,0,Mixed,Mixed,2.0,3.0,
2211,Generalist medical practitioners ,22,Health professionals,1667,0.8689,0.0,0.0,1.0421644061058715,-0.6854777735548961,-1.128111354394053,4,2,1,-0.2571415739476926,0.9363504130661904,3,0,1,Mixed,Mixed,4.0,3.0,
2212,Specialist medical practitioners ,22,Health professionals,4059,0.7323,0.66,0.0,0.52557572116588,1.5398503414965126,-1.128111354394053,4,5,1,0.3124382360894465,1.0995682768988158,3,1,1,Contested High,Mixed,4.0,3.0,
2221,Nursing professionals,22,Health professionals,10832,0.6565,0.0,0.179,0.23891816392977958,-0.6854777735548961,-0.041512318202750205,3,2,3,-0.16269064260928892,0.386988459809872,3,0,0,Mixed,Mixed,4.0,3.0,
2222,Midwifery professionals,22,Health professionals,502,0.6499,0.0,0.078,0.21395853493560746,-0.6854777735548961,-0.6546212715844351,3,2,2,-0.37538017006790786,0.4169157491547332,3,0,0,Mixed,Mixed,,,
2230,Traditional and complementary medicine professionals,22,Health professionals,0,0.794,0.66,0.2172,0.7589104346417036,1.5398503414965126,0.1903764146604218,4,5,4,0.8297123969328792,0.5531905387241154,3,1,0,Contested High,Contested High,,,|no_employment_signal
