isco4_code,isco4_label,isco2_code,isco2_label,employment_estonia,felten_aei_isco4_exposure,ilo_wp140_exposure,demirev_ai_products_exposure,felten_aei_isco4_z,ilo_wp140_z,demirev_ai_products_z,felten_aei_isco4_quintile,ilo_wp140_quintile,demirev_ai_products_quintile,ensemble_z_mean,ensemble_z_sd,n_models,top_quintile_count,bottom_quintile_count,tier_label_quintile,tier_label_ensemble,tootukassa_balance_national,tootukassa_demand_national,notes
2619,Legal professionals not elsewhere classified,26,"Legal, social & cultural professionals",1969,0.9959,0.0,0.2823,1.5224481761452482,-0.6854777735548961,0.5855585222361415,5,2,4,0.4741763082754978,0.9048162789686099,3,1,0,Contested High,Mixed,3.0,3.0,
2621,Archivists and curators,26,"Legal, social & cultural professionals",580,0.7928,0.33,0.0382,0.7543723202791265,0.42718628397080827,-0.8962226215308813,4,4,1,0.09511199423968453,0.7135922813051901,3,0,1,Mixed,Mixed,,,
2622,Librarians and related information professionals,26,"Legal, social & cultural professionals",1349,0.8032,1.0,0.1462,0.7937026447547922,2.686231491674511,-0.24062096840987163,4,5,3,1.0797710560064773,1.2118835705112236,3,1,0,Contested High,Contested High,,,
2631,Economists,26,"Legal, social & cultural professionals",198,0.9881,0.33,0.4468,1.492950432788499,0.42718628397080827,1.5841369661102715,5,4,5,1.168091227623193,0.5252198572097962,3,2,0,Robust High,Contested High,,,
2632,"Sociologists, anthropologists and related professionals",26,"Legal, social & cultural professionals",273,0.9258,0.33,0.0613,1.2573466621313873,0.42718628397080827,-0.7559967123911098,5,4,2,0.3095120779036953,0.8261449832459002,3,1,0,Contested High,Mixed,,,
2633,"Philosophers, historians and political scientists",26,"Legal, social & cultural professionals",216,0.954,0.33,0.1371,1.363992349651942,0.42718628397080827,-0.2958614780709937,5,4,3,0.49843905185058546,0.6795029556224742,3,1,0,Contested High,Mixed,,,
2634,Psychologists,26,"Legal, social & cultural professionals",848,0.9916,0.33,0.19,1.5061865996793482,0.42718628397080827,0.025261924244760096,5,4,3,0.6528782692983055,0.6252930660943771,3,1,0,Contested High,Contested High,5.0,3.0,
2635,Social work and counselling professionals,26,"Legal, social & cultural professionals",2345,0.861,0.0,0.0414,1.0122884865522408,-0.6854777735548961,-0.8767973873643329,4,2,1,-0.18332889145566275,0.8490294398519282,3,0,1,Mixed,Mixed,3.0,3.0,
2636,Religious professionals,26,"Legal, social & cultural professionals",236,0.9441,0.0,0.0745,1.3265529061606838,-0.6854777735548961,-0.6758676214540974,5,2,2,-0.011597496282769923,0.9462233575027033,3,1,0,Contested High,Mixed,,,
2641,Authors and related writers,26,"Legal, social & cultural professionals",265,0.903,1.0,0.1532,1.1711224892424286,2.686231491674511,-0.1981282686705469,5,5,3,1.219741904082131,1.1780366979000743,3,2,0,Contested High,Contested High,,,
2642,Journalists,26,"Legal, social & cultural professionals",1185,0.9191,0.33,0.0261,1.2320088569403338,0.42718628397080827,-0.9696742882231424,5,4,1,0.22984028422933322,0.9096011032808854,3,1,1,Contested High,Mixed,2.0,3.0,
2643,"Translators, interpreters and other linguists",26,"Legal, social & cultural professionals",563,0.9365,0.33,0.5636,1.2978115151976972,0.42718628397080827,2.2931580131892892,5,4,5,1.3393852707859315,0.7623467742989121,3,2,0,Robust High,Contested High,2.0,4.0,
2651,Visual artists,26,"Legal, social & cultural professionals",290,0.3848,0.0,0.0437,-0.7885865629969818,-0.6854777735548961,-0.8628355003071262,2,2,2,-0.7789666122863347,0.07272481648165746,3,0,0,Mixed,Mixed,,,
2652,"Musicians, singers and composers",26,"Legal, social & cultural professionals",1123,0.7179,0.66,0.0258,0.4711183488149587,1.5398503414965126,-0.9714954039262564,4,5,1,0.34649109546173823,1.0290329853709053,3,1,1,Contested High,Mixed,,,
2653,Dancers and choreographers,26,"Legal, social & cultural professionals",195,0.0,0.0,0.0,-2.2438085685966054,-0.6854777735548961,-1.128111354394053,1,2,1,-1.352465898848518,0.6556675671440314,3,0,2,Consensus Low,Consensus Low,,,
2654,"Film, stage and related directors and producers",26,"Legal, social & cultural professionals",515,0.87,0.0,0.1458,1.0463243442715668,-0.6854777735548961,-0.24304912268069007,4,2,3,0.03926581601199355,0.7346477329459091,3,0,0,Mixed,Mixed,,,
2655,Actors,26,"Legal, social & cultural professionals",283,0.6394,0.66,0.0585,0.17425003426306032,1.5398503414965126,-0.7729937922868396,3,5,2,0.31370219449091113,0.9493496635550666,3,1,0,Contested High,Mixed,,,
2656,"Announcers on radio, television and other media",26,"Legal, social & cultural professionals",237,0.8449,0.33,0.1387,0.9514021188543356,0.42718628397080827,-0.2861488609877195,4,4,3,0.36414651394580816,0.5071907046865188,3,0,0,Mixed,Mixed,,,
2659,Creative and performing artists not elsewhere classified,26,"Legal, social & cultural professionals",108,,0.0,0.0329,,-0.6854777735548961,-0.928395665619227,,2,1,-0.8069367195870616,0.12145894603216545,2,0,1,Mixed,Mixed,,,partial_coverage
3111,Chemical and physical science technicians,31,Science & engineering technicians,543,0.6505,0.0,0.1461,0.21622759211689563,-0.6854777735548961,-0.24122800697757618,3,2,3,-0.23682606280519222,0.36813283332215607,3,0,0,Mixed,Mixed,,,
3112,Civil engineering technicians,31,Science & engineering technicians,1946,0.6381,0.0,0.2356,0.16933374370360224,-0.6854777735548961,0.3020715111180753,3,2,4,-0.07135750624440622,0.43761673167714193,3,0,0,Mixed,Mixed,3.0,3.0,
3113,Electrical engineering technicians,31,Science & engineering technicians,795,0.6014,0.0,0.1622,0.03054307944812895,-0.6854777735548961,-0.14349479757712938,3,2,3,-0.26614316389463216,0.30490810834748144,3,0,0,Mixed,Mixed,4.0,3.0,
3114,Electronics engineering technicians,31,Science & engineering technicians,544,0.6933,0.0,0.1858,0.37808700438213466,-0.6854777735548961,-0.00023369559883478047,3,2,3,-0.10254148825719876,0.4401838044469087,3,0,0,Mixed,Mixed,4.0,3.0,
3115,Mechanical engineering technicians,31,Science & engineering technicians,2092,0.6061,0.0,0.2772,0.04831736070155443,-0.6854777735548961,0.5545995552832049,3,2,4,-0.02752028585671225,0.5090916465308137,3,0,0,Mixed,Mixed,4.0,3.0,
3116,Chemical engineering technicians,31,Science & engineering technicians,116,0.6492,0.66,0.2466,0.21131130155743755,1.5398503414965126,0.3688457535655856,3,5,4,0.7066691322065118,0.5926479964407416,3,1,0,Contested High,Contested High,,,
3117,Mining and metallurgical technicians,31,Science & engineering technicians,0,0.6336,0.0,0.2641,0.1523158148439395,-0.6854777735548961,0.4750775029138972,3,2,4,-0.019361485265686467,0.4890991439811137,3,0,0,Mixed,Mixed,,,|no_employment_signal
3118,Draughtspersons,31,Science & engineering technicians,587,0.7423,0.33,0.0287,0.5633933408540199,0.42718628397080827,-0.9538912854628219,4,4,1,0.01222944645400211,0.6854098735140511,3,0,1,Mixed,Mixed,,,
3119,Physical and engineering science technicians not elsewhere classified,31,Science & engineering technicians,616,0.633,0.33,0.3248,0.15004675766265094,0.42718628397080827,0.8435499135106127,3,4,5,0.4735943183813573,0.2850168837527099,3,1,0,Contested High,Mixed,,,
3121,Mining supervisors,31,Science & engineering technicians,195,0.5092,0.0,0.195,-0.31813537407652126,-0.6854777735548961,0.05561385262999205,3,2,4,-0.3159997650004751,0.30255315810606986,3,0,0,Mixed,Mixed,,,
3122,Manufacturing supervisors,31,Science & engineering technicians,2320,0.5711,0.66,0.1891,-0.08404430820693495,1.5398503414965126,0.019798577135418275,3,5,3,0.49186820347499866,0.742246929899641,3,1,0,Contested High,Mixed,3.0,3.0,
3123,Construction supervisors,31,Science & engineering technicians,2130,0.5092,0.0,0.07,-0.31813537407652126,-0.6854777735548961,-0.7031843570008062,3,2,2,-0.5689325015440745,0.17748761484267733,3,0,0,Mixed,Mixed,3.0,3.0,
3131,Power production plant operators,31,Science & engineering technicians,200,0.6535,0.66,0.1898,0.2275728780233376,1.5398503414965126,0.024047847109350783,3,5,3,0.5971570222097337,0.6717433191445864,3,1,0,Contested High,Contested High,,,
3132,Incinerator and water treatment plant operators,31,Science & engineering technicians,272,0.4517,0.0,0.1305,-0.5355866872833257,-0.6854777735548961,-0.3359260235394998,2,2,3,-0.5189968281259073,0.1431852507647669,3,0,0,Mixed,Mixed,,,
3133,Chemical processing plant controllers,31,Science & engineering technicians,71,0.4874,0.66,0.2937,-0.4005777849966662,1.5398503414965126,0.6547609189544703,3,5,5,0.5980111584847722,0.7931921709171882,3,2,0,Contested High,Contested High,,,
3134,Petroleum and natural gas refining plant operators,31,Science & engineering technicians,0,0.4406,0.0,0.3866,-0.577564245137161,-0.6854777735548961,1.2186997483520794,2,2,5,-0.014780756779992613,0.8733143572275087,3,1,0,Contested High,Mixed,,,|no_employment_signal
3135,Metal production process controllers,31,Science & engineering technicians,0,0.2677,0.33,0.3509,-1.2314308895451,0.42718628397080827,1.0019869796815235,1,4,5,0.06591412470241058,0.9468991584612855,3,1,1,Contested High,Mixed,,,|no_employment_signal
3139,Process control technicians not elsewhere classified,31,Science & engineering technicians,827,0.588,0.0,0.1724,-0.020132530933978824,-0.6854777735548961,-0.08157686367125631,3,2,3,-0.26239572272004374,0.3002139990188674,3,0,0,Mixed,Mixed,,,
3141,Life science technicians (excluding medical),31,Science & engineering technicians,506,0.6394,0.66,0.2526,0.17425003426306032,1.5398503414965126,0.40526806762786377,3,5,4,0.7064561477958122,0.5967979806184924,3,1,0,Contested High,Contested High,,,
3142,Agricultural technicians,31,Science & engineering technicians,153,0.6216,0.0,0.1374,0.10693467121817156,-0.6854777735548961,-0.29404036236787984,3,2,3,-0.2908611549015348,0.3235088367447305,3,0,0,Mixed,Mixed,,,
3143,Forestry technicians,31,Science & engineering technicians,309,0.4078,0.0,0.0,-0.7016060377142599,-0.6854777735548961,-1.128111354394053,2,2,1,-0.838398388554403,0.20496378892852143,3,0,1,Mixed,Mixed,,,
3151,Ships' engineers,31,Science & engineering technicians,0,0.5416,0.0,0.0,-0.195606286286948,-0.6854777735548961,-1.128111354394053,3,2,1,-0.669731804745299,0.3808563833972711,3,0,1,Mixed,Mixed,,,|no_employment_signal
3152,Ships' deck officers and pilots,31,Science & engineering technicians,421,0.5553,0.66,0.0195,-0.14379614731419615,1.5398503414965126,-1.0097388336916486,3,5,1,0.12877178683022258,1.0585591463878243,3,1,1,Contested High,Mixed,,,
3153,Aircraft pilots and related associate professionals,31,Science & engineering technicians,39,0.5722,0.0,0.0626,-0.0798843700412396,-0.6854777735548961,-0.7481052110109494,3,2,2,-0.5044891182023618,0.3013275549976641,3,0,0,Mixed,Mixed,,,
3154,Air traffic controllers,31,Science & engineering technicians,0,0.7768,0.0,0.1567,0.693864128778103,-0.6854777735548961,-0.17688191880088452,4,2,3,-0.05616518785922589,0.5695468477832968,3,0,0,Mixed,Mixed,,,|no_employment_signal
3155,Air traffic safety electronics technicians,31,Science & engineering technicians,0,0.6933,0.0,0.0,0.37808700438213466,-0.6854777735548961,-1.128111354394053,3,2,1,-0.4785007078556049,0.6320801654268953,3,0,1,Mixed,Mixed,,,|no_employment_signal
3211,Medical imaging and therapeutic equipment technicians,32,Health associate professionals,539,0.5373,0.0,0.3384,-0.21186786275284805,-0.6854777735548961,0.9261071587184435,3,2,5,0.009587174136899764,0.6763052804296277,3,1,0,Contested High,Mixed,,,
3212,Medical and pathology laboratory technicians ,32,Health associate professionals,823,0.6164,0.66,0.2393,0.08726950898033844,1.5398503414965126,0.32453193812314696,3,5,4,0.6505505961999992,0.6362462273936713,3,1,0,Contested High,Contested High,,,
3213,Pharmaceutical technicians and assistants,32,Health associate professionals,154,0.5967,0.66,0.4396,0.012768798194703054,1.5398503414965126,1.5404301892355377,3,5,5,1.0310164429755844,0.720009853466006,3,2,0,Robust High,Contested High,,,
3214,Medical and dental prosthetic technicians,32,Health associate professionals,310,0.6044,0.0,0.1653,0.04188836535457094,-0.6854777735548961,-0.12467660197828562,3,2,3,-0.2560886700595369,0.3111454362363471,3,0,0,Mixed,Mixed,,,
3221,Nursing associate professionals,32,Health associate professionals,0,0.4508,0.0,,-0.5389902730552584,-0.6854777735548961,,2,2,,-0.6122340233050773,0.07324375024981888,2,0,0,Mixed,Mixed,4.0,3.0,partial_coverage|no_employment_signal
3222,Midwifery associate professionals,32,Health associate professionals,0,0.6591,0.0,0.2599,0.24875074504869613,-0.6854777735548961,0.44958188307030256,3,2,4,0.004284951521367504,0.4945791134410742,3,0,0,Mixed,Mixed,,,|no_employment_signal
3230,Traditional and complementary medicine associate professionals,32,Health associate professionals,0,0.6591,0.0,0.4387,0.24875074504869613,-0.6854777735548961,1.5349668421261957,3,2,5,0.36607993787333193,0.9102813401886432,3,1,0,Contested High,Mixed,,,|no_employment_signal
3240,Veterinary technicians and assistants,32,Health associate professionals,188,0.4356,0.0,0.039,-0.5964730549812309,-0.6854777735548961,-0.8913663129892441,2,2,1,-0.7244390471751236,0.12350167080172865,3,0,1,Mixed,Mixed,,,
3251,Dental assistants and therapists,32,Health associate professionals,1295,0.4626,0.0,0.1554,-0.49436548182325313,-0.6854777735548961,-0.18477342018104478,2,2,3,-0.45487222518639797,0.2063104462724723,3,0,0,Mixed,Mixed,,,
3252,Medical records and health information technicians,32,Health associate professionals,200,0.7556,0.33,1.0,0.6136907750392464,0.42718628397080827,4.942274322652332,4,4,5,1.9943837938874622,2.0858635155866727,3,1,0,Contested High,Contested High,,,
3253,Community health workers,32,Health associate professionals,53,0.6052,0.66,0.117,0.04491377492962179,1.5398503414965126,-0.417876230179626,3,5,3,0.38896262874883614,0.8354442102747647,3,1,0,Contested High,Mixed,,,
3254,Dispensing opticians,32,Health associate professionals,260,0.6232,0.0,0.0731,0.1129854903682737,-0.6854777735548961,-0.6843661614019624,3,2,2,-0.4189528148628616,0.3761374565674309,3,0,0,Mixed,Mixed,,,
3255,Physiotherapy technicians and assistants,32,Health associate professionals,582,0.4799,0.0,0.2795,-0.42894099976277117,-0.6854777735548961,0.5685614423404117,3,2,4,-0.18195244365908522,0.5409288917442338,3,0,0,Mixed,Mixed,3.0,3.0,
3256,Medical assistants,32,Health associate professionals,44,0.6268,0.66,0.5317,0.12659983345600423,1.5398503414965126,2.0995127100915094,3,5,5,1.255320961681342,0.8301863367871297,3,2,0,Contested High,Contested High,,,
3257,Environmental and occupational health inspectors and associates,32,Health associate professionals,395,0.6321,0.0,0.3735,0.1466431718907183,-0.6854777735548961,1.1391776959827717,3,2,5,0.20011436477286462,0.7458714241206329,3,1,0,Contested High,Mixed,,,
3258,Ambulance workers,32,Health associate professionals,761,0.4025,0.0,0.2239,-0.721649376148974,-0.6854777735548961,0.23104799869663248,2,2,4,-0.3920263836690792,0.4408275253647892,3,0,0,Mixed,Mixed,,,
3259,Health associate professionals not elsewhere classified,32,Health associate professionals,200,0.555,0.0,0.452,-0.1449306759048402,-0.6854777735548961,1.6157029716309133,3,2,5,0.26176484072372563,0.9824829558955247,3,1,0,Contested High,Mixed,,,
3311,Securities and finance dealers and brokers,33,Business & administration assoc professionals,68,0.9552,1.0,0.6713,1.368530464014519,2.686231491674511,2.9469385506071855,5,5,5,2.333900168765405,0.6908671086793471,3,3,0,Robust High,Contested High,,,
3312,Credit and loans officers,33,Business & administration assoc professionals,1109,0.983,0.33,0.4902,1.4736634467475478,0.42718628397080827,1.8475917044940853,5,4,5,1.249480478404147,0.601155216858575,3,2,0,Robust High,Contested High,,,
3313,Accounting associate professionals,33,Business & administration assoc professionals,4605,0.8861,0.33,0.0418,1.107210711969472,0.42718628397080827,-0.8743692330935142,5,4,1,0.22000925428225537,0.8221340162008809,3,1,1,Contested High,Mixed,2.0,4.0,
3314,"Statistical, mathematical and related associate professionals",33,Business & administration assoc professionals,544,0.9077,0.33,0.7896,1.188896770495854,0.42718628397080827,3.6650651762017725,5,4,5,1.7603827435561448,1.3822474677717698,3,2,0,Contested High,Contested High,,,
3315,Valuers and loss assessors,33,Business & administration assoc professionals,454,0.8543,0.66,0.3902,0.9869506813611869,1.5398503414965126,1.2405531367894465,4,5,5,1.2557847198823822,0.22597715133331128,3,2,0,Robust High,Robust High,,,
3321,Insurance representatives,33,Business & administration assoc professionals,454,0.9669,0.33,0.6889,1.4127770790496423,0.42718628397080827,3.053777338523201,5,4,5,1.6312469005145507,1.0833718780215298,3,2,0,Contested High,Contested High,,,
3322,Commercial sales representatives,33,Business & administration assoc professionals,9801,0.8983,0.33,0.5699,1.1533482079890027,0.42718628397080827,2.3314014429546814,5,4,5,1.3039786449714974,0.7846553338186762,3,2,0,Contested High,Contested High,2.0,3.0,
3323,Buyers,33,Business & administration assoc professionals,2999,0.884,0.33,0.2276,1.0992690118349626,0.42718628397080827,0.2535084257017042,4,4,4,0.5933212405024917,0.3647175711884988,3,0,0,Mixed,Contested High,3.0,3.0,
3324,Trade brokers,33,Business & administration assoc professionals,30,0.9663,0.33,0.5328,1.4105080218683543,0.42718628397080827,2.106190134336261,5,4,5,1.3146281467251413,0.6887951776973145,3,2,0,Robust High,Contested High,,,
3331,Clearing and forwarding agents,33,Business & administration assoc professionals,307,0.6871,0.33,0.0046,0.354640080175488,0.42718628397080827,-1.1001875802796397,3,4,1,-0.10612040537778115,0.7035353102175231,3,0,1,Mixed,Mixed,,,
3332,Conference and event planners,33,Business & administration assoc professionals,379,0.6996,0.33,0.071,0.4019121047856627,0.42718628397080827,-0.6971139713237599,4,4,2,0.04399480581090368,0.5241446115293615,3,0,0,Mixed,Mixed,,,
3333,Employment agents and contractors,33,Business & administration assoc professionals,265,0.7243,0.33,0.0,0.4953216254153685,0.42718628397080827,-1.128111354394053,4,4,1,-0.0685344816692921,0.7497501664324946,3,0,1,Mixed,Mixed,2.0,4.0,
3334,Real estate agents and property managers,33,Business & administration assoc professionals,1614,0.9132,0.66,0.3345,1.2096964613243313,1.5398503414965126,0.9024326545779628,5,5,5,1.2173264857996022,0.26028060480216153,3,3,0,Robust High,Robust High,3.0,3.0,
3339,Business services agents not elsewhere classified,33,Business & administration assoc professionals,371,0.9333,0.33,0.3128,1.2857098768974924,0.42718628397080827,0.7707052853860563,5,4,5,0.8278671487514524,0.35281373638270647,3,2,0,Robust High,Contested High,,,
3341,Office supervisors,33,Business & administration assoc professionals,1980,0.8858,0.33,0.3516,1.106076183378828,0.42718628397080827,1.006236249655456,4,4,5,0.8464995723350307,0.29928774163624433,3,1,0,Contested High,Contested High,2.0,4.0,
3342,Legal secretaries,33,Business & administration assoc professionals,192,0.879,0.33,0.1253,1.0803602019908927,0.42718628397080827,-0.3674920290601411,4,4,3,0.38001815230051994,0.5920234484229,3,0,0,Mixed,Mixed,,,
3343,Administrative and executive secretaries,33,Business & administration assoc professionals,5974,0.863,0.33,0.1914,1.0198520104898687,0.42718628397080827,0.03376046419262494,4,4,4,0.49359958621776734,0.40530003656240626,3,0,0,Mixed,Mixed,2.0,4.0,
3344,Medical secretaries,33,Business & administration assoc professionals,709,0.9143,0.33,0.7145,1.2138563994900267,0.42718628397080827,3.2091792118555893,5,4,5,1.6167406317721413,1.1709278204815177,3,2,0,Contested High,Contested High,,,
3351,Customs and border inspectors,33,Business & administration assoc professionals,329,0.5796,0.66,0.2762,-0.05189933147201621,1.5398503414965126,0.5485291696061585,3,5,4,0.6788267265435516,0.65632809140792,3,1,0,Contested High,Contested High,,,
3352,Government tax and excise officials,33,Business & administration assoc professionals,316,0.9777,0.33,0.0731,1.4536201083128337,0.42718628397080827,-0.6843661614019624,5,4,2,0.39881341029389317,0.8730597869343435,3,1,0,Contested High,Mixed,,,
3353,Government social benefits officials,33,Business & administration assoc professionals,0,0.8644,0.33,0.3054,1.0251464772462082,0.42718628397080827,0.725784431375913,4,4,5,0.7260390641976432,0.2441162930707328,3,1,0,Contested High,Contested High,,,|no_employment_signal
3354,Government licensing officials,33,Business & administration assoc professionals,260,0.856,1.0,0.1625,0.9933796767081708,2.686231491674511,-0.1416736818740155,4,5,3,1.1793124955028889,1.1619495621509977,3,1,0,Contested High,Contested High,,,
3355,Police inspectors and detectives,33,Business & administration assoc professionals,0,0.5995,0.0,0.1316,0.023357731707382322,-0.6854777735548961,-0.32924859929474887,3,2,3,-0.33045621371408757,0.28938214311361915,3,0,0,Mixed,Mixed,,,|no_employment_signal
3359,Regulatory government associate professionals not elsewhere classified,33,Business & administration assoc professionals,867,0.6425,0.33,0.1998,0.18597349636638366,0.42718628397080827,0.08475170387981469,3,4,4,0.2326371614056689,0.14363955731087852,3,0,0,Mixed,Mixed,2.0,4.0,
3411,Legal and related associate professionals,34,"Legal, social, cultural assoc professionals",541,0.8283,0.66,0.251,0.8886248701720235,1.5398503414965126,0.39555545054458957,4,5,4,0.9413435540710419,0.4686414009941942,3,1,0,Contested High,Contested High,,,
3412,Social work associate professionals,34,"Legal, social, cultural assoc professionals",4003,0.7251,0.0,0.081,0.4983470349904193,-0.6854777735548961,-0.6364101145532959,4,2,2,-0.27451361770592425,0.5468620180354077,3,0,0,Mixed,Mixed,4.0,3.0,
3413,Religious associate professionals,34,"Legal, social, cultural assoc professionals",24,,0.0,0.0975,,-0.6854777735548961,-0.5362487508820305,,2,2,-0.6108632622184633,0.07461451133643282,2,0,0,Mixed,Mixed,,,partial_coverage
3421,Athletes and sports players,34,"Legal, social, cultural assoc professionals",253,0.0864,0.0,0.0,-1.9170643344910765,-0.6854777735548961,-1.128111354394053,1,2,1,-1.2435511541466753,0.509376170621049,3,0,2,Consensus Low,Consensus Low,,,
3422,"Sports coaches, instructors and officials",34,"Legal, social, cultural assoc professionals",3145,0.6518,0.66,0.1858,0.2211438826763541,1.5398503414965126,-0.00023369559883478047,3,5,3,0.586920176191344,0.6798573051271611,3,1,0,Contested High,Contested High,3.0,3.0,
3423,Fitness and recreation instructors and program leaders,34,"Legal, social, cultural assoc professionals",213,0.4907,0.66,0.1125,-0.38809797049957995,1.5398503414965126,-0.44519296572633477,3,5,2,0.23551980175686596,0.9225954611107096,3,1,0,Contested High,Mixed,,,
3431,Photographers,34,"Legal, social, cultural assoc professionals",377,0.5477,0.66,0.0,-0.17253753827718268,1.5398503414965126,-1.128111354394053,3,5,1,0.07973381627509224,1.103701508540102,3,1,1,Contested High,Mixed,,,
3432,Interior designers and decorators,34,"Legal, social, cultural assoc professionals",416,0.6012,0.66,0.0571,0.029786727054365816,1.5398503414965126,-0.7814923322347045,3,5,2,0.26271491210539133,0.9618903633868648,3,1,0,Contested High,Mixed,,,
3433,"Gallery, museum and library technicians",34,"Legal, social, cultural assoc professionals",150,0.503,0.33,0.0487,-0.34158229828316794,0.42718628397080827,-0.8324835719218943,3,4,2,-0.24895986207808463,0.5184118203562421,3,0,0,Mixed,Mixed,,,
3434,Chefs,34,"Legal, social, cultural assoc professionals",1099,0.5212,0.0,0.1173,-0.2727542304507533,-0.6854777735548961,-0.4160551144765121,3,2,3,-0.45809570616072054,0.17109595605970754,3,0,0,Mixed,Mixed,3.0,3.0,
3435,Other artistic and cultural associate professionals,34,"Legal, social, cultural assoc professionals",1043,0.4678,0.0,0.0629,-0.47470031958542047,-0.6854777735548961,-0.7462840953078355,2,2,2,-0.635487396149384,0.11637214782403879,3,0,0,Mixed,Mixed,,,
3511,Information and communications technology operations technicians,35,ICT technicians,362,0.792,0.33,0.4387,0.7513469107040757,0.42718628397080827,1.5349668421261957,4,4,5,0.9045000122670266,0.4650350134814432,3,1,0,Contested High,Contested High,,,
3512,Information and communications technology user support technicians,35,ICT technicians,2618,0.6787,0.33,0.3941,0.32287327963745016,0.42718628397080827,1.2642276409299273,3,4,5,0.6714290681793953,0.4213295714042739,3,1,0,Contested High,Contested High,3.0,3.0,
3513,Computer network and systems technicians,35,ICT technicians,1068,0.815,0.33,0.3107,0.838327435986797,0.42718628397080827,0.7579574754642586,4,4,5,0.6744903984739548,0.17792194248459556,3,1,0,Contested High,Contested High,,,
3514,Web technicians,35,ICT technicians,317,0.858,0.33,0.1595,1.0009432006457988,0.42718628397080827,-0.15988483890515465,4,4,3,0.42274821523715084,0.47391645303962665,3,0,0,Mixed,Mixed,,,
3521,Broadcasting and audio-visual technicians,35,ICT technicians,675,0.6542,0.66,0.0703,0.23022011140150753,1.5398503414965126,-0.7013632412976922,3,5,2,0.35623573720010926,0.919300289852512,3,1,0,Contested High,Mixed,,,
3522,Telecommunications engineering technicians,35,ICT technicians,335,0.6933,0.66,0.0,0.37808700438213466,1.5398503414965126,-1.128111354394053,3,5,1,0.26327533049486473,1.0922121872696147,3,1,1,Contested High,Mixed,4.0,3.0,
4110,General office clerks,41,General & keyboard clerks,2350,0.9418,0.33,0.2681,1.3178548536324113,0.42718628397080827,0.49935904562208283,5,4,4,0.7481333944084341,0.40392997141114806,3,1,0,Contested High,Contested High,,,
4120,Secretaries (general),41,General & keyboard clerks,2678,0.9027,1.0,0.3509,1.169987960651784,2.686231491674511,1.0019869796815235,5,5,5,1.6194021440026063,0.7574737510049613,3,3,0,Robust High,Contested High,,,
4131,Typists and word processing operators,41,General & keyboard clerks,0,0.769,1.0,0.3509,0.6643663854213537,2.686231491674511,1.0019869796815235,4,5,5,1.4508616189257963,0.8843456934512015,3,2,0,Contested High,Contested High,,,|no_employment_signal
4132,Data entry clerks,41,General & keyboard clerks,1992,0.6819,1.0,0.8773,0.3349749179376549,2.686231491674511,4.197438000078741,3,5,5,2.406214803230302,1.5892267038995518,3,2,0,Contested High,Contested High,2.0,4.0,
4211,Bank tellers and related clerks,42,Customer services clerks,772,0.5883,1.0,0.7311,-0.018998002343334333,2.686231491674511,3.309947614094559,3,5,5,1.9923937011419117,1.4448824378886647,3,2,0,Contested High,Contested High,,,
4212,"Bookmakers, croupiers and related gaming workers",42,Customer services clerks,721,0.7024,0.33,0.1344,0.41250103829834195,0.42718628397080827,-0.312251519399019,4,4,3,0.17581193429004371,0.3451650476996834,3,0,0,Mixed,Mixed,2.0,3.0,
4213,Pawnbrokers and money-lenders,42,Customer services clerks,106,,0.33,0.5013,,0.42718628397080827,1.9149729855092994,,4,5,1.1710796347400538,0.7438933507692456,2,1,0,Contested High,Contested High,,,partial_coverage
4214,Debt-collectors and related workers,42,Customer services clerks,176,0.9471,0.33,0.3481,1.3378981920671258,0.42718628397080827,0.9849898997857938,5,4,5,0.9166914586079092,0.3749200383082643,3,2,0,Robust High,Contested High,,,
4221,Travel consultants and clerks,42,Customer services clerks,930,0.8448,1.0,0.3899,0.9510239426574542,2.686231491674511,1.2387320210863326,4,5,5,1.6253291518060993,0.7593107908500588,3,2,0,Robust High,Contested High,,,
4222,Contact centre information clerks,42,Customer services clerks,2769,0.8707,1.0,0.4387,1.0489715776497366,2.686231491674511,1.5349668421261957,4,5,5,1.7567233038168144,0.6865551459978824,3,2,0,Robust High,Contested High,2.0,4.0,
4223,Telephone switchboard operators,42,Customer services clerks,21,0.8754,0.33,0.3107,1.0667458589031622,0.42718628397080827,0.7579574754642586,4,4,5,0.7506298727794096,0.26115050933991246,3,1,0,Contested High,Contested High,,,
4224,Hotel receptionists,42,Customer services clerks,1041,0.7996,1.0,0.289,0.7800883016670618,2.686231491674511,0.6262301062723521,4,5,5,1.3641832998713082,0.9369370851023449,3,2,0,Contested High,Contested High,3.0,3.0,
4225,Enquiry clerks,42,Customer services clerks,3820,0.8978,1.0,0.3342,1.1514573270045958,2.686231491674511,0.9006115388748488,5,5,5,1.579433452517985,0.7892960268349497,3,3,0,Contested High,Contested High,3.0,3.0,
4226,Receptionists (general),42,Customer services clerks,2629,0.8787,0.33,0.4401,1.0792256734002486,0.42718628397080827,1.5434653820740611,4,4,5,1.0166257798150393,0.45786374699846577,3,1,0,Contested High,Robust High,2.0,3.0,
4227,Survey and market research interviewers,42,Customer services clerks,45,0.9582,1.0,0.5515,1.379875749920961,2.686231491674511,2.2197063464970284,5,5,5,2.0952711960308332,0.5405271568920939,3,3,0,Robust High,Contested High,,,
