model,taxonomy,code,metric,value,source,notes
ilo_wp140,isco4,6123,automation_share,0.0,derived,WP140 class: Augmentation Potential
ilo_wp140,isco4,6129,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6129,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6129,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6130,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6130,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6130,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6210,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6210,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6210,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6221,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6221,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6221,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6222,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6222,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6222,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6223,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6223,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6223,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6224,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6224,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6224,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6310,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6310,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6310,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6320,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6320,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6320,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6330,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6330,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6330,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6340,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6340,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,6340,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7111,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7111,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7111,automation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7112,exposure,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7112,augmentation_share,0.0,derived,WP140 class: Not Affected
ilo_wp140,isco4,7112,automation_share,0.0,derived,WP140 class: Not Affected
