isco4,name_et,county,county_name,gender,count,source_url
1345,Haridus- ja koolitusteenuste juhid,all,Kogu Eesti,M,362,https://palgad.stat.ee/api/charts/workers_total_section/1345/2025/Q4/average/all/all/all
1345,Haridus- ja koolitusteenuste juhid,all,Kogu Eesti,F,1577,https://palgad.stat.ee/api/charts/workers_total_section/1345/2025/Q4/average/all/all/all
1346,Finantsvahendus- ja kindlustusteenuste juhid,all,Kogu Eesti,M,203,https://palgad.stat.ee/api/charts/workers_total_section/1346/2025/Q4/average/all/all/all
1346,Finantsvahendus- ja kindlustusteenuste juhid,all,Kogu Eesti,F,276,https://palgad.stat.ee/api/charts/workers_total_section/1346/2025/Q4/average/all/all/all
1349,"Kutseteenuste juhid, mujal liigitamata",all,Kogu Eesti,M,710,https://palgad.stat.ee/api/charts/workers_total_section/1349/2025/Q4/average/all/all/all
1349,"Kutseteenuste juhid, mujal liigitamata",all,Kogu Eesti,F,815,https://palgad.stat.ee/api/charts/workers_total_section/1349/2025/Q4/average/all/all/all
1411,"Hotellide, motellide ja hostelite juhid",all,Kogu Eesti,M,129,https://palgad.stat.ee/api/charts/workers_total_section/1411/2025/Q4/average/all/all/all
1411,"Hotellide, motellide ja hostelite juhid",all,Kogu Eesti,F,211,https://palgad.stat.ee/api/charts/workers_total_section/1411/2025/Q4/average/all/all/all
1412,Restoranide ja kohvikute juhid,all,Kogu Eesti,M,390,https://palgad.stat.ee/api/charts/workers_total_section/1412/2025/Q4/average/all/all/all
1412,Restoranide ja kohvikute juhid,all,Kogu Eesti,F,706,https://palgad.stat.ee/api/charts/workers_total_section/1412/2025/Q4/average/all/all/all
1420,Hulgi- ja jaekaubandusjuhid,all,Kogu Eesti,M,1595,https://palgad.stat.ee/api/charts/workers_total_section/1420/2025/Q4/average/all/all/all
1420,Hulgi- ja jaekaubandusjuhid,all,Kogu Eesti,F,2965,https://palgad.stat.ee/api/charts/workers_total_section/1420/2025/Q4/average/all/all/all
1431,"Spordi-, vabaaja- ja kultuurikeskuste juhid",all,Kogu Eesti,M,249,https://palgad.stat.ee/api/charts/workers_total_section/1431/2025/Q4/average/all/all/all
1431,"Spordi-, vabaaja- ja kultuurikeskuste juhid",all,Kogu Eesti,F,401,https://palgad.stat.ee/api/charts/workers_total_section/1431/2025/Q4/average/all/all/all
1439,"Teenuste juhid, mujal liigitamata",all,Kogu Eesti,M,1089,https://palgad.stat.ee/api/charts/workers_total_section/1439/2025/Q4/average/all/all/all
1439,"Teenuste juhid, mujal liigitamata",all,Kogu Eesti,F,596,https://palgad.stat.ee/api/charts/workers_total_section/1439/2025/Q4/average/all/all/all
2111,Füüsikud ja astronoomid,all,Kogu Eesti,M,160,https://palgad.stat.ee/api/charts/workers_total_section/2111/2025/Q4/average/all/all/all
2111,Füüsikud ja astronoomid,all,Kogu Eesti,F,47,https://palgad.stat.ee/api/charts/workers_total_section/2111/2025/Q4/average/all/all/all
2112,Meteoroloogid,all,Kogu Eesti,all,,https://palgad.stat.ee/api/charts/workers_total_section/2112/2025/Q4/average/all/all/all
2113,Keemikud,all,Kogu Eesti,M,159,https://palgad.stat.ee/api/charts/workers_total_section/2113/2025/Q4/average/all/all/all
2113,Keemikud,all,Kogu Eesti,F,266,https://palgad.stat.ee/api/charts/workers_total_section/2113/2025/Q4/average/all/all/all
2114,Geoloogid ja geofüüsikud,all,Kogu Eesti,M,79,https://palgad.stat.ee/api/charts/workers_total_section/2114/2025/Q4/average/all/all/all
2114,Geoloogid ja geofüüsikud,all,Kogu Eesti,F,56,https://palgad.stat.ee/api/charts/workers_total_section/2114/2025/Q4/average/all/all/all
2120,"Matemaatikud, aktuaarid ja statistikud",all,Kogu Eesti,M,372,https://palgad.stat.ee/api/charts/workers_total_section/2120/2025/Q4/average/all/all/all
2120,"Matemaatikud, aktuaarid ja statistikud",all,Kogu Eesti,F,528,https://palgad.stat.ee/api/charts/workers_total_section/2120/2025/Q4/average/all/all/all
2131,"Bioloogid, botaanikud, zooloogid jms tippspetsialistid",all,Kogu Eesti,M,262,https://palgad.stat.ee/api/charts/workers_total_section/2131/2025/Q4/average/all/all/all
2131,"Bioloogid, botaanikud, zooloogid jms tippspetsialistid",all,Kogu Eesti,F,540,https://palgad.stat.ee/api/charts/workers_total_section/2131/2025/Q4/average/all/all/all
2132,"Põllumajanduse, metsanduse ja kalanduse nõuandjad",all,Kogu Eesti,M,246,https://palgad.stat.ee/api/charts/workers_total_section/2132/2025/Q4/average/all/all/all
2132,"Põllumajanduse, metsanduse ja kalanduse nõuandjad",all,Kogu Eesti,F,253,https://palgad.stat.ee/api/charts/workers_total_section/2132/2025/Q4/average/all/all/all
2133,Keskkonnakaitse tippspetsialistid,all,Kogu Eesti,M,255,https://palgad.stat.ee/api/charts/workers_total_section/2133/2025/Q4/average/all/all/all
2133,Keskkonnakaitse tippspetsialistid,all,Kogu Eesti,F,449,https://palgad.stat.ee/api/charts/workers_total_section/2133/2025/Q4/average/all/all/all
2141,Tööstus- ja tootmisinsenerid,all,Kogu Eesti,M,2246,https://palgad.stat.ee/api/charts/workers_total_section/2141/2025/Q4/average/all/all/all
2141,Tööstus- ja tootmisinsenerid,all,Kogu Eesti,F,657,https://palgad.stat.ee/api/charts/workers_total_section/2141/2025/Q4/average/all/all/all
2142,Ehitusinsenerid,all,Kogu Eesti,M,1499,https://palgad.stat.ee/api/charts/workers_total_section/2142/2025/Q4/average/all/all/all
2142,Ehitusinsenerid,all,Kogu Eesti,F,430,https://palgad.stat.ee/api/charts/workers_total_section/2142/2025/Q4/average/all/all/all
2143,Keskkonnatehnika tippspetsialistid,all,Kogu Eesti,M,81,https://palgad.stat.ee/api/charts/workers_total_section/2143/2025/Q4/average/all/all/all
2143,Keskkonnatehnika tippspetsialistid,all,Kogu Eesti,F,78,https://palgad.stat.ee/api/charts/workers_total_section/2143/2025/Q4/average/all/all/all
2144,Mehaanikainsenerid,all,Kogu Eesti,M,1099,https://palgad.stat.ee/api/charts/workers_total_section/2144/2025/Q4/average/all/all/all
2144,Mehaanikainsenerid,all,Kogu Eesti,F,61,https://palgad.stat.ee/api/charts/workers_total_section/2144/2025/Q4/average/all/all/all
2145,Keemiainsenerid,all,Kogu Eesti,M,106,https://palgad.stat.ee/api/charts/workers_total_section/2145/2025/Q4/average/all/all/all
2145,Keemiainsenerid,all,Kogu Eesti,F,170,https://palgad.stat.ee/api/charts/workers_total_section/2145/2025/Q4/average/all/all/all
2146,"Mäetööstuse, metallurgia jms valdkondade tippspetsialistid",all,Kogu Eesti,M,44,https://palgad.stat.ee/api/charts/workers_total_section/2146/2025/Q4/average/all/all/all
2149,"Tehnikateaduste tippspetsialistid, mujal liigitamata",all,Kogu Eesti,M,510,https://palgad.stat.ee/api/charts/workers_total_section/2149/2025/Q4/average/all/all/all
2149,"Tehnikateaduste tippspetsialistid, mujal liigitamata",all,Kogu Eesti,F,134,https://palgad.stat.ee/api/charts/workers_total_section/2149/2025/Q4/average/all/all/all
2151,Elektriinsenerid,all,Kogu Eesti,M,1261,https://palgad.stat.ee/api/charts/workers_total_section/2151/2025/Q4/average/all/all/all
2151,Elektriinsenerid,all,Kogu Eesti,F,130,https://palgad.stat.ee/api/charts/workers_total_section/2151/2025/Q4/average/all/all/all
2152,Elektroonikainsenerid,all,Kogu Eesti,M,856,https://palgad.stat.ee/api/charts/workers_total_section/2152/2025/Q4/average/all/all/all
2152,Elektroonikainsenerid,all,Kogu Eesti,F,81,https://palgad.stat.ee/api/charts/workers_total_section/2152/2025/Q4/average/all/all/all
2153,Telekommunikatsiooniinsenerid,all,Kogu Eesti,M,355,https://palgad.stat.ee/api/charts/workers_total_section/2153/2025/Q4/average/all/all/all
2153,Telekommunikatsiooniinsenerid,all,Kogu Eesti,F,53,https://palgad.stat.ee/api/charts/workers_total_section/2153/2025/Q4/average/all/all/all
2161,Ehitusarhitektid,all,Kogu Eesti,M,477,https://palgad.stat.ee/api/charts/workers_total_section/2161/2025/Q4/average/all/all/all
2161,Ehitusarhitektid,all,Kogu Eesti,F,593,https://palgad.stat.ee/api/charts/workers_total_section/2161/2025/Q4/average/all/all/all
2162,Maastikuarhitektid,all,Kogu Eesti,M,30,https://palgad.stat.ee/api/charts/workers_total_section/2162/2025/Q4/average/all/all/all
2162,Maastikuarhitektid,all,Kogu Eesti,F,100,https://palgad.stat.ee/api/charts/workers_total_section/2162/2025/Q4/average/all/all/all
2163,Toote- ja rõivadisainerid,all,Kogu Eesti,M,193,https://palgad.stat.ee/api/charts/workers_total_section/2163/2025/Q4/average/all/all/all
2163,Toote- ja rõivadisainerid,all,Kogu Eesti,F,296,https://palgad.stat.ee/api/charts/workers_total_section/2163/2025/Q4/average/all/all/all
2164,Linna- ja liiklusplaneerijad,all,Kogu Eesti,M,168,https://palgad.stat.ee/api/charts/workers_total_section/2164/2025/Q4/average/all/all/all
