isco4,leaf_id,leaf_name_et
4110,41100001,Kontoriabiline
4110,41100002,Kantselei spetsialist
4110,41109900,Mujal liigitamata kontoriabilised   
4120,41200001,Sekretär
4120,41200002,Sekretär-masinakirjutaja
4120,41200003,Koolitussekretär
4120,41200004,Õppeala assistent
4120,41209900,Mujal liigitamata asjaajamise tugitöötajad  
4131,41310002,Stenografist
4131,41310003,Masinakirjutaja
4131,41310004,Tekstitöötleja
4131,41310005,Protokollija
4131,41319900,Mujal liigitamata masinakirjutajad jms tekstitöötlejad 
4132,41320001,Andmesisestusoperaator
4132,41320002,Andmesisestaja
4132,41320003,Maksete sisestaja
4132,41320004,Sõidusoodustuse menetleja
4211,42110001,Pangateller
4211,42110002,Rahavahetaja
4211,42110003,Postkontori letitöötaja
4211,42110004,Panga kliendihaldur
4211,42119900,Mujal liigitamata pangatellerid jms klienditeenindajad 
4212,42120001,Kihlvedude vahendaja
4212,42120002,Krupjee
4212,42129900,Mujal liigitamata hasartmängutöötajad
4213,42130001,Rahalaenaja
4213,42130002,Pandimajapidaja
4214,42140001,Inkassaator
4214,42140003,Võlahaldur
4221,42210001,Lennupiletite vahendaja
4221,42210002,Registreerimisleti (Check-in’i) töötaja
4221,42210003,Reisibüroo töötaja
4221,42210004,Reisikonsultant
4221,42210005,Turismiinfo töötaja
4221,42219900,Mujal liigitamata reisikonsultandid jm reisibüroo klienditeenindajad
4222,42220001,Klienditeeninduskeskuse infotöötaja
4222,42220002,Infotelefoni operaator
4222,42229900,Mujal liigitamata kõne- ja kontaktikeskuse klienditeenindajad
4223,42230001,Vastamisteenuse operaator
4223,42230002,Telefonivahendusjaama operaator
4224,42240001,Hotelli vastuvõtulaua teenindaja
4224,42240002,Hotelli administraator
4225,42250001,Infospetsialist
4225,42250002,Infopunkti klienditeenindaja
4225,42250003,Klienditoe konsultant
4225,42250004,Kliendihaldur
4225,42259900,Mujal liigitamata infopunkti klienditeenindajad  
4226,42260001,Administraator
4227,42270001,Turu-uuringute küsitleja
4227,42270002,Arvamusküsitleja
4227,42270003,Küsitleja
4229,42290001,Teenuste määramise küsitleja
4229,42290002,Teenuste määramise spetsialist
4229,42290003,Haigla vastuvõtutöötaja
4229,42299900,Muud mujal liigitamata klienditeenindajad
4311,43110001,Arveametnik
4311,43110002,Raamatupidamistöötaja
4311,43110003,Kuluarvestaja
4311,43110004,Kaubaarvete kirjutaja
4311,43110005,Saatedokumentide vormistaja
4311,43119900,Mujal liigitamata raamatupidamise kontoritöötajad
4312,43120001,Rahanduse kontoritöötaja
4312,43120002,Kindlustuse kontoritöötaja
4312,43120003,Väärtpaberiala kontoritöötaja
4312,43120004,Statistilise arvestuse kontoritöötaja
4313,43130001,Palgaarvestaja
4313,43139900,Mujal liigitamata palgaarvestajad   
4321,43210001,Kaubalähetaja
4321,43210002,Laoametnik
4321,43210003,Kaaluja
4321,43210004,Laohoidja
4321,43210005,Jäätmejaama operaator
4321,43219900,Laoarvestuse mujal liigitamata kontoritöötajad  
4322,43220001,Tootmisdispetšer
4322,43220002,Ajaline planeerija (materjalid)
4322,43220003,Materjali ja toodangu arvestaja
4322,43229900,Mujal liigitamata tootmisarvestuse kontoritöötajad  
4323,43230001,Veoteenuste kontrollija
4323,43230002,Veoteenuste dispetšer
4323,43230003,Autoveodispetšer
4323,43230004,Bussidispetšer
4323,43230005,Jaamadispetšer
4323,43230006,Jaamakorraldaja
4323,43230007,Liiklusdispetšer
4323,43230008,Logistik
4323,43230009,Maanteeveonduse dispetšer
4323,43230010,Postivahetuskorraldaja
4323,43230011,Sadamadispetšer
4323,43230012,Sadamaterminali inspektor-järelevaataja
4323,43230013,Sorteermäe korraldaja
4323,43230014,Stividor
4323,43230015,Sõidukipargi inspektor-järelevaataja
4323,43230016,Lendude planeerija
4323,43230017,Transpordiametnik
4323,43230018,Veokorraldusjuht
4323,43239900,Transpordivaldkonna mujal liigitamata kontoritöötajad  
4411,44110001,Raamatukogu spetsialist
4411,44110002,Raamatukogu kataloogija
4411,44110003,Raamatukogu laenutustöötaja
4411,44119900,Raamatukogutöö mujal liigitamata assistendid  
4412,44120001,Postisorteerija
4412,44120002,Postiljon
4412,44120003,Kuller
4412,44120004,Saadetiste lähetaja-vastuvõtja
4412,44129900,Mujal liigitamata posti sorteerijad ja kättetoimetajad
4413,44130001,Kodeerija
4413,44130002,Korrektor
4413,44139900,"Mujal liigitamata kodeerijad, korrektorid jms töötajad"
4414,44140001,Kirjaabiline
4414,44149900,Mujal liigitamata kirjaabilised jms töötajad 
4415,44150001,Dokumentide kopeerija
4415,44150002,Registritöötaja
4415,44150003,Arhiivitöö assistent
4415,44150004,Dokumendihalduse assistent
4415,44159900,Mujal liigitamata kartoteegi- ja registripidajad 
4416,44160001,Personalitöö assistent
4416,44160002,Personalitöötaja
4416,44169900,Mujal liigitamata personalitöö assistendid  
4419,44190001,Reklaamiosakonna töötaja
4419,44190002,Kirjavahetussekretär
4419,44190003,Telefoniraamatu koostaja
4419,44190004,Toimetusametnik
4419,44190005,Meediaspetsialist
4419,44190006,Valimiste jaoskonnakomisjoni liige
4419,44199900,Mujal liigitamata kontoritöötajad ja klienditeenindajad
5111,51110001,Kajutiteenindaja
5111,51110002,Lennusaatja
5111,51119900,Mujal liigitamata reisi- ja lennusaatjad 
5112,51120003,Piletikontrolör (ühistransport)
5112,51120004,Rongi konduktor
5112,51129900,Mujal liigitamata kontrolörid ja konduktorid 
5113,51130001,Kunstigalerii giid
5113,51130002,Giid-reisisaatja
5113,51130003,Giid
5113,51130004,Ekskursioonijuht
5113,51130005,Reisijuht
5113,51130006,Turismirühma juht
5113,51139900,Mujal liigitamata giidid   
5120,51200001,Kokk
5131,51310001,Sommeljee
5131,51310002,Kelner
5131,51310003,Ettekandja
5131,51310004,Toitlustuse teenindusjuht
5131,51310005,Ülemkelner
5131,51310006,Toitlustuse saaliteenindaja
5131,51319900,Mujal liigitamata ettekandjad ja kelnerid 
5132,51320001,Baarmen
5132,51320002,Baaridaam
5132,51320003,Barista
5141,51410001,Habemeajaja
5141,51410002,Juuksehoolduse spetsialist
5141,51410003,Juuksur
5141,51410004,Soengutegija
5141,51410005,Juuksepikenduste paigaldaja
5141,51419900,Mujal liigitamata juuksurid   
5142,51420001,Spaateenindaja
5142,51420002,Kosmeetik
5142,51420003,Jumestuskunstnik
5142,51420004,Maniküürija
5142,51420005,Pediküürija
5142,51420006,Salenemiskonsultant
5142,51420007,Küünetehnik
5142,51420008,Ripsmetehnik
5142,51429900,Mujal liigitamata iluteenindajad (v.a juuksurid) 
5151,51510001,Majapidaja
5151,51510002,Majutusasutuse majapidamisjuht
5151,51510003,Haldusspetsialist
5151,51510004,Majandusspetsialist
5151,51510005,Mõisa juhataja
5151,51510006,Vanempuhastusteenindaja
5151,51510007,Õpilaskodu juhataja
5151,51510008,Turuhaldur
5151,51510009,Tervishoiuasutuse majapidamisjuht
5151,51519900,"Muud kontorite, hotellide jm asutuste mujal liigitamata koristus- ja majapidamistööde juhatajad"
5152,51520001,Kodumajutusasutuse pidaja
5152,51520002,Kodumajapidaja
5152,51529900,Mujal liigitamata kodumajapidajad   
5153,51530001,Portjee
5153,51530002,Majahoidja
5153,51530003,Kirikuteener
5153,51530004,Sadamavaht
5153,51530005,Õpilaskodu administraator
5153,51530006,Saarevaht
5153,51530007,Kalmistuvaht
5153,51530008,Turvakodu administraator
5153,51539900,Muud hoonete mujal liigitamata haldajad  
5161,51610001,Astroloog
5161,51610002,Ennustaja
5161,51610003,Numeroloog
5161,51619900,"Mujal liigitamata astroloogid, ennustajad jms töötajad"
5162,51620001,Seltsidaam
5163,51630001,Palsameerija
5163,51630002,Matusekorraldaja
5163,51630003,Kremeerija
5163,51630004,Surnumatja
5163,51639900,Mujal liigitamata surnumatjad ja lahkunute korrastajad
5164,51640001,Koertetreenija
5164,51640002,Hobusetaltsutaja
5164,51640003,Loomaaia talitaja
5164,51640004,Loomaarsti abi
5164,51640005,Loomahooldaja
5164,51640006,Teenistuskoerte koolituse instruktor
5164,51649900,Mujal liigitamata lemmikloomade hooldajad  
5165,51650001,Sõiduinstruktor
5165,51659900,Mujal liigitamata sõiduõpetajad   
5169,51690001,Klubi teenindaja (mees)
5169,51690002,Klubi teenindaja (naine)
5169,51690003,Tantsupartner
5169,51690004,Isiklik saatja
5169,51699900,Mujal liigitamata isikuteenindajad
5211,52110001,Kioskimüüja (kioskipidaja)
5211,52110002,Turumüüja
5211,52110003,Tänavamüüja (v.a toit)
5211,52119900,Mujal liigitamata kioski- ja turumüüjad 
5212,52120001,Tänavakaupleja (toit)
5212,52120002,Tänaval toidu müüja
5221,52210001,Väikepoodnik
5221,52210003,Väikepoepidaja
5222,52220001,Kassiiride vahetuseülem
5222,52220002,Müüjate vahetuseülem
5223,52230001,Müüja (jaemüügiasutus)
5223,52230002,Müüja (hulgimüügiasutus)
5230,52300001,Supermarketi kassiir
5230,52300002,Kaupluse kassiir
5230,52300003,"Piletimüüja (meelelahutus-, spordisündmused jms)"
5230,52300004,Kassapidaja-klienditeenindaja
5230,52300005,Tanklakassiir
5230,52309900,Mujal liigitamata kassapidajad ja piletimüüjad 
5241,52410001,Reklaamimodell
5241,52410002,Kunstimodell
5241,52419900,Mujal liigitamata rõiva- jm modellid 
5242,52420001,Demonstraator
5242,52420002,Tootetutvustaja
5243,52430001,Lävemüüja
5243,52430002,Ukselt uksele käiv müüja
5243,52430003,Esitlusmüüja
5244,52440001,Kõnekeskuse müüja
5244,52440002,Klienditeeninduskeskuse müüja
5244,52440003,E-poe müüja
